name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,births,tfr,sex_ratio,deaths,e0,imr,net
Saint Pierre and Miquelon,SPM,Europe and Northern America,Northern America,upper,more,5681,30,1.267,105.4,82,76.758,8.148,0
United States of America,USA,Europe and Northern America,Northern America,upper,more,343477335,3657476,1.624,104.9,2975658,79.304,5.282,1322668
Australia,AUS,Australia/New Zealand,Oceania,upper,more,26451124,304340,1.638,105.6,183924,83.923,3.191,140232
New Zealand,NZL,Australia/New Zealand,Oceania,upper,more,5172836,59236,1.667,105.3,37686,82.088,4.342,21404
Fiji,FJI,Oceania (excluding Australia and New Zealand),Oceania,upper-middle,less,924145,16631,2.281,107.1,8553,67.316,22.856,-3289
New Caledonia,NCL,Oceania (excluding Australia and New Zealand),Oceania,upper,less,289870,4134,1.98,105.9,1818,78.766,9.378,485
Papua New Guinea,PNG,Oceania (excluding Australia and New Zealand),Oceania,lower-middle,less,10389635,255331,3.099,107.7,67700,66.134,32.15,-787
Solomon Islands,SLB,Oceania (excluding Australia and New Zealand),Oceania,lower-middle,less-least,800005,21548,3.557,107,4113,70.528,14.515,1636
Vanuatu,VUT,Oceania (excluding Australia and New Zealand),Oceania,lower-middle,less,320409,8988,3.596,107,1629,71.477,14.765,0
Guam,GUM,Oceania (excluding Australia and New Zealand),Oceania,upper,less,166506,2941,2.781,107,1144,77.209,11.434,-500
Kiribati,KIR,Oceania (excluding Australia and New Zealand),Oceania,lower-middle,less-least,132530,3421,3.147,107.1,934,66.473,43.254,-485
Marshall Islands,MHL,Oceania (excluding Australia and New Zealand),Oceania,upper-middle,less,38827,821,2.919,107,271,66.945,22.132,-1832
Micronesia (Fed. States of),FSM,Oceania (excluding Australia and New Zealand),Oceania,lower-middle,less,112630,2512,2.748,107,860,67.198,18.84,-1134
Nauru,NRU,Oceania (excluding Australia and New Zealand),Oceania,upper,less,11875,303,3.331,107.2,89,62.109,20.454,-148
Northern Mariana Islands,MNP,Oceania (excluding Australia and New Zealand),Oceania,upper,less,45143,583,2.348,115.1,212,78.808,4.86,-1321
Palau,PLW,Oceania (excluding Australia and New Zealand),Oceania,upper-middle,less,17727,193,1.907,107.7,204,69.269,18.13,-19
American Samoa,ASM,Oceania (excluding Australia and New Zealand),Oceania,upper,less,47521,731,2.286,106,334,72.852,8.434,-1159
Cook Islands,COK,Oceania (excluding Australia and New Zealand),Oceania,upper-middle,less,14222,178,2.045,106,132,75.282,5.54,-558
French Polynesia,PYF,Oceania (excluding Australia and New Zealand),Oceania,upper,less,281118,3066,1.501,105.9,1026,84.07,5.255,-1348
Niue,NIU,Oceania (excluding Australia and New Zealand),Oceania,upper-middle,less,1817,25,2.514,107.1,27,69.978,19.481,0
Samoa,WSM,Oceania (excluding Australia and New Zealand),Oceania,lower-middle,less,216663,5503,3.829,107.6,1334,71.698,13.118,-2810
Tokelau,TKL,Oceania (excluding Australia and New Zealand),Oceania,upper,less,2397,47,2.612,103,14,77.051,4.02,73
Tonga,TON,Oceania (excluding Australia and New Zealand),Oceania,upper-middle,less,104597,2418,3.129,108.1,674,72.895,8.96,-2173
Tuvalu,TUV,Oceania (excluding Australia and New Zealand),Oceania,upper-middle,less-least,9816,226,3.208,107,90,67.105,16.121,-323
Wallis and Futuna Islands,WLF,Oceania (excluding Australia and New Zealand),Oceania,upper,less,11370,98,1.41,104.8,88,78.629,11.11,-107
