name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,births,tfr,sex_ratio,deaths,e0,imr,net
Liberia,LBR,Sub-Saharan Africa,Africa,low,less-least,5493031,170065,3.95,103.9,44333,62.163,55.929,-5002
Mali,MLI,Sub-Saharan Africa,Africa,low,less-least,23769127,951445,5.614,103.3,205047,60.439,60.771,-39953
Mauritania,MRT,Sub-Saharan Africa,Africa,lower-middle,less-least,5022441,172885,4.697,103.3,27725,68.484,30.781,2999
Niger,NER,Sub-Saharan Africa,Africa,low,less-least,26159867,1095892,6.061,104,231746,61.183,64.56,995
Nigeria,NGA,Sub-Saharan Africa,Africa,lower-middle,less,227882945,7509758,4.482,103.8,2675442,54.462,69.469,-57936
Saint Helena,SHN,Sub-Saharan Africa,Africa,upper-middle,less,5289,39,1.636,105.4,89,76.787,12.142,0
Senegal,SEN,Sub-Saharan Africa,Africa,lower-middle,less-least,18077573,531890,3.818,103.1,100882,68.683,24.144,-9999
Sierra Leone,SLE,Sub-Saharan Africa,Africa,low,less-least,8460512,258903.00000000003,3.791,103.4,70116,61.786,71.619,-4000
Togo,TGO,Sub-Saharan Africa,Africa,low,less-least,9304337,289759,4.192,102.8,71661,62.739,41.356,-1997
Kazakhstan,KAZ,Central and Southern Asia,Asia,upper-middle,less,20330104,409417,3.012,106.4,136388,74.402,8.12,-4822
Kyrgyzstan,KGZ,Central and Southern Asia,Asia,lower-middle,less,7073516,150759,2.8,105.6,42200,71.677,14.264,5601
Tajikistan,TJK,Central and Southern Asia,Asia,lower-middle,less,10389799,271420,3.072,106.3,47595,71.79,24.502,-19999
Turkmenistan,TKM,Central and Southern Asia,Asia,upper-middle,less,7364438,160100,2.69,106.7,42575,70.073,31.771,15005
Uzbekistan,UZB,Central and Southern Asia,Asia,lower-middle,less,35652307,943547,3.5,107.9,221249,72.388,11.137,-6004
China,CHN,Eastern and South-Eastern Asia,Asia,upper-middle,less,1422584933,8899881,0.999,110.8,11684177,77.953,5.102,-567724
