name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,growth_rate,tfr,sex_ratio,e0,imr,net
Australia,AUS,Australia/New Zealand,Oceania,upper,more,26451.124,0.985,1.638,105.6,83.923,3.191,140.232
New Zealand,NZL,Australia/New Zealand,Oceania,upper,more,5172.836,0.83,1.667,105.3,82.088,4.342,21.404
Fiji,FJI,Oceania (excluding Australia and New Zealand),Oceania,upper-middle,less,924.145,0.519,2.281,107.1,67.316,22.856,-3.289
New Caledonia,NCL,Oceania (excluding Australia and New Zealand),Oceania,upper,less,289.87,0.966,1.98,105.9,78.766,9.378,0.485
Papua New Guinea,PNG,Oceania (excluding Australia and New Zealand),Oceania,lower-middle,less,10389.635,1.798,3.099,107.7,66.134,32.15,-0.787
Solomon Islands,SLB,Oceania (excluding Australia and New Zealand),Oceania,lower-middle,less-least,800.005,2.383,3.557,107,70.528,14.515,1.636
Vanuatu,VUT,Oceania (excluding Australia and New Zealand),Oceania,lower-middle,less,320.409,2.295,3.596,107,71.477,14.765,0
Guam,GUM,Oceania (excluding Australia and New Zealand),Oceania,upper,less,166.506,0.779,2.781,107,77.209,11.434,-0.5
Kiribati,KIR,Oceania (excluding Australia and New Zealand),Oceania,lower-middle,less-least,132.53,1.504,3.147,107.1,66.473,43.254,-0.485
Marshall Islands,MHL,Oceania (excluding Australia and New Zealand),Oceania,upper-middle,less,38.827,-3.323,2.919,107,66.945,22.132,-1.832
Micronesia (Fed. States of),FSM,Oceania (excluding Australia and New Zealand),Oceania,lower-middle,less,112.63,0.466,2.748,107,67.198,18.84,-1.134
Nauru,NRU,Oceania (excluding Australia and New Zealand),Oceania,upper,less,11.875,0.505,3.331,107.2,62.109,20.454,-0.148
Northern Mariana Islands,MNP,Oceania (excluding Australia and New Zealand),Oceania,upper,less,45.143,-2.105,2.348,115.1,78.808,4.86,-1.321
Palau,PLW,Oceania (excluding Australia and New Zealand),Oceania,upper-middle,less,17.727,-0.231,1.907,107.7,69.269,18.13,-0.019
American Samoa,ASM,Oceania (excluding Australia and New Zealand),Oceania,upper,less,47.521,-1.599,2.286,106,72.852,8.434,-1.159
Cook Islands,COK,Oceania (excluding Australia and New Zealand),Oceania,NA,less,14.222,-3.586,2.045,106,75.282,5.54,-0.558
French Polynesia,PYF,Oceania (excluding Australia and New Zealand),Oceania,upper,less,281.118,0.247,1.501,105.9,84.07,5.255,-1.348
Niue,NIU,Oceania (excluding Australia and New Zealand),Oceania,NA,less,1.817,-0.275,2.514,107.1,69.978,19.481,0
Samoa,WSM,Oceania (excluding Australia and New Zealand),Oceania,lower-middle,less,216.663,0.627,3.829,107.6,71.698,13.118,-2.81
Tokelau,TKL,Oceania (excluding Australia and New Zealand),Oceania,NA,less,2.397,4.631,2.612,103,77.051,4.02,0.073
Tonga,TON,Oceania (excluding Australia and New Zealand),Oceania,upper-middle,less,104.597,-0.418,3.129,108.1,72.895,8.96,-2.173
Tuvalu,TUV,Oceania (excluding Australia and New Zealand),Oceania,upper-middle,less-least,9.816,-1.803,3.208,107,67.105,16.121,-0.323
Wallis and Futuna Islands,WLF,Oceania (excluding Australia and New Zealand),Oceania,NA,less,11.37,-0.888,1.41,104.8,78.629,11.11,-0.107
