name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,growth_rate,tfr,sex_ratio,e0,imr,net
Liberia,LBR,Sub-Saharan Africa,Africa,low,less-least,5493.031,2.198,3.95,103.9,62.163,55.929,-5.002
Mali,MLI,Sub-Saharan Africa,Africa,low,less-least,23769.127,2.972,5.614,103.3,60.439,60.771,-39.953
Mauritania,MRT,Sub-Saharan Africa,Africa,lower-middle,less-least,5022.441,2.95,4.697,103.3,68.484,30.781,2.999
Niger,NER,Sub-Saharan Africa,Africa,low,less-least,26159.867,3.307,6.061,104,61.183,64.56,0.995
Nigeria,NGA,Sub-Saharan Africa,Africa,lower-middle,less,227882.945,2.096,4.482,103.8,54.462,69.469,-57.936
Saint Helena,SHN,Sub-Saharan Africa,Africa,NA,less,5.289,-1.116,1.636,105.4,76.787,12.142,0
Senegal,SEN,Sub-Saharan Africa,Africa,lower-middle,less-least,18077.573,2.329,3.818,103.1,68.683,24.144,-9.999
Sierra Leone,SLE,Sub-Saharan Africa,Africa,low,less-least,8460.512,2.184,3.791,103.4,61.786,71.619,-4
Togo,TGO,Sub-Saharan Africa,Africa,low,less-least,9304.337,2.323,4.192,102.8,62.739,41.356,-1.997
Kazakhstan,KAZ,Central and Southern Asia,Asia,upper-middle,less,20330.104,1.319,3.012,106.4,74.402,8.12,-4.822
Kyrgyzstan,KGZ,Central and Southern Asia,Asia,lower-middle,less,7073.516,1.614,2.8,105.6,71.677,14.264,5.601
Tajikistan,TJK,Central and Southern Asia,Asia,lower-middle,less,10389.799,1.962,3.072,106.3,71.79,24.502,-19.999
Turkmenistan,TKM,Central and Southern Asia,Asia,upper-middle,less,7364.438,1.8,2.69,106.7,70.073,31.771,15.005
Uzbekistan,UZB,Central and Southern Asia,Asia,lower-middle,less,35652.307,2.009,3.5,107.9,72.388,11.137,-6.004
China,CHN,Eastern and South-Eastern Asia,Asia,upper-middle,less,1422584.933,-0.236,0.999,110.8,77.953,5.102,-567.724
"China, Hong Kong SAR",HKG,Eastern and South-Eastern Asia,Asia,upper,less,7442.734,-0.259,0.717,107.7,85.511,1.347,-3.427
"China, Macao SAR",MAC,Eastern and South-Eastern Asia,Asia,upper,less,713.912,1.388,0.662,108,83.075,2.284,8.807
"China, Taiwan Province of China",TWN,Eastern and South-Eastern Asia,Asia,upper,less,23317.145,-0.453,0.87,106.8,80.559,2.979,-32.777
Dem. People's Republic of Korea,PRK,Eastern and South-Eastern Asia,Asia,low,less,26418.204,0.319,1.78,106,73.642,14.535,-1.997
Japan,JPN,Eastern and South-Eastern Asia,Asia,upper,more,124370.947,-0.482,1.208,105.1,84.712,1.649,175.003
Mongolia,MNG,Eastern and South-Eastern Asia,Asia,lower-middle,less,3431.932,1.302,2.685,104.4,71.734,10.551,0
Republic of Korea,KOR,Eastern and South-Eastern Asia,Asia,upper,less,51748.739,-0.041,0.72,105.8,84.329,2.074,87.8
Afghanistan,AFG,Central and Southern Asia,Asia,low,less-least,41454.761,2.846,4.84,105.1,66.035,43.951,-48.958
Bangladesh,BGD,Central and Southern Asia,Asia,lower-middle,less-least,171466.99,1.214,2.163,104.9,74.672,22.8,-549.918
Bhutan,BTN,Central and Southern Asia,Asia,lower-middle,less,786.385,0.692,1.462,104.8,72.975,19.34,0.291
India,IND,Central and Southern Asia,Asia,lower-middle,less,1438069.596,0.885,1.975,107.3,72.003,22.619,-979.179
Iran (Islamic Republic of),IRN,Central and Southern Asia,Asia,lower-middle,less,90608.707,1.117,1.695,105.2,77.654,9.868,262.044
Maldives,MDV,Central and Southern Asia,Asia,upper-middle,less,525.994,0.323,1.575,105.1,81.041,4.312,-2.877
Nepal,NPL,Central and Southern Asia,Asia,lower-middle,less-least,29694.614,-0.139,1.984,104.9,70.354,21.905,-409.782
Pakistan,PAK,Central and Southern Asia,Asia,lower-middle,less,247504.495,1.48,3.605,105.5,67.649,49.363,-1619.557
Sri Lanka,LKA,Central and Southern Asia,Asia,lower-middle,less,22971.617,0.582,1.974,104.4,77.483,5.098,-28.011
Brunei Darussalam,BRN,Eastern and South-Eastern Asia,Asia,upper,less,458.949,0.837,1.747,107.6,75.327,8.101,0
Cambodia,KHM,Eastern and South-Eastern Asia,Asia,lower-middle,less-least,17423.88,1.253,2.579,105.2,70.668,19.187,-31.837
Indonesia,IDN,Eastern and South-Eastern Asia,Asia,upper-middle,less,281190.067,0.828,2.127,106.1,71.146,17.117,-37.501
Lao People's Democratic Republic,LAO,Eastern and South-Eastern Asia,Asia,lower-middle,less-least,7664.993,1.375,2.421,105.3,68.964,31.716,-10.003
Malaysia,MYS,Eastern and South-Eastern Asia,Asia,upper-middle,less,35126.298,1.241,1.55,106.5,76.657,6.39,181.071
Myanmar,MMR,Eastern and South-Eastern Asia,Asia,lower-middle,less-least,54133.798,0.69,2.115,106.6,66.889,31.785,-34.989
Philippines,PHL,Eastern and South-Eastern Asia,Asia,lower-middle,less,114891.199,0.835,1.916,108,69.833,20.711,-164.284
Singapore,SGP,Eastern and South-Eastern Asia,Asia,upper,less,5789.09,0.807,0.943,106,83.736,1.727,26.996
Thailand,THA,Eastern and South-Eastern Asia,Asia,upper-middle,less,71702.435,-0.037,1.212,106.4,76.412,6.204,19.648
Timor-Leste,TLS,Eastern and South-Eastern Asia,Asia,lower-middle,less-least,1384.286,1.075,2.707,107.1,67.689,37.559,-5.62
Viet Nam,VNM,Eastern and South-Eastern Asia,Asia,lower-middle,less,100352.192,0.644,1.913,110.9,74.588,15.067,-81.789
Armenia,ARM,Northern Africa and Western Asia,Asia,upper-middle,less,2943.393,2.789,1.714,108.7,75.683,8.664,75
Azerbaijan,AZE,Northern Africa and Western Asia,Asia,upper-middle,less,10318.207,-0.26,1.67,111.8,74.429,14.946,-84.122
Bahrain,BHR,Northern Africa and Western Asia,Asia,upper,less,1569.666,2.311,1.824,103.8,81.284,5.332,20.002
Cyprus,CYP,Northern Africa and Western Asia,Asia,upper,less,1344.976,1.02,1.389,106.5,81.648,3.12,8.697
Georgia,GEO,Northern Africa and Western Asia,Asia,upper-middle,less,3807.492,0.018,1.81,106.7,74.496,8.142,2.003
Iraq,IRQ,Northern Africa and Western Asia,Asia,upper-middle,less,45074.049,2.147,3.249,105.7,72.324,19.019,-5.71
Israel,ISR,Northern Africa and Western Asia,Asia,upper,less,9256.314,1.415,2.83,105.5,82.408,2.781,9.999
Jordan,JOR,Northern Africa and Western Asia,Asia,lower-middle,less,11439.213,1.604,2.639,104.9,77.814,11.751,-17.445
Kuwait,KWT,Northern Africa and Western Asia,Asia,upper,less,4838.782,1.875,1.525,104.7,80.405,7.246,50.008
Lebanon,LBN,Northern Africa and Western Asia,Asia,lower-middle,less,5773.493,0.426,2.239,105.3,77.817,15.717,-34.193
Oman,OMN,Northern Africa and Western Asia,Asia,upper,less,5049.269,4.591,2.525,104.3,80.031,8.557,156.285
Qatar,QAT,Northern Africa and Western Asia,Asia,upper,less,2979.082,2.24,1.729,104,82.368,4.176,39.995
Saudi Arabia,SAU,Northern Africa and Western Asia,Asia,upper,less,33264.292,2.387,2.28,105.1,78.732,5.059,325.691
State of Palestine,PSE,Northern Africa and Western Asia,Asia,upper-middle,less,5409.202,1.524,3.311,105.1,65.17,14.182,-24.996
Syrian Arab Republic,SYR,Northern Africa and Western Asia,Asia,low,less,23594.623,4.917,2.712,105.2,72.12,16.736,757.309
Türkiye,TUR,Northern Africa and Western Asia,Asia,upper-middle,less,87270.501,0.232,1.625,105,77.156,9.163,-318.07
United Arab Emirates,ARE,Northern Africa and Western Asia,Asia,upper,less,10642.081,3.704,1.2,104.6,82.909,4.864,300.004
Yemen,YEM,Northern Africa and Western Asia,Asia,low,less-least,39390.799,3.029,4.59,105.9,69.295,32.274,-5.233
Belarus,BLR,Europe and Northern America,Europe,upper-middle,more,9115.68,-0.653,1.208,105.9,74.434,1.905,-3.034
Bulgaria,BGR,Europe and Northern America,Europe,upper-middle,more,6795.803,-0.517,1.749,106,75.636,4.724,5.173
Czechia,CZE,Europe and Northern America,Europe,upper,more,10809.716,-0.336,1.448,105.3,79.834,2.225,-14.638
Hungary,HUN,Europe and Northern America,Europe,upper,more,9686.463,0.067,1.486,105.9,77.024,3.19,49.213
Poland,POL,Europe and Northern America,Europe,upper,more,38762.844,-0.264,1.299,106,78.633,3.19,-7.824
Republic of Moldova,MDA,Europe and Northern America,Europe,upper-middle,more,3067.07,-0.89,1.731,106.2,71.198,11.681,-18.57
