name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,births,tfr,sex_ratio,deaths,e0,imr,net
Ghana,GHA,Sub-Saharan Africa,Africa,lower-middle,less,33787.914,888.947,3.397,103.8,237.869,65.498,30.69,-10.003
Guinea,GIN,Sub-Saharan Africa,Africa,lower-middle,less-least,14405.468,487.595,4.217,104.5,131.455,60.74,65.441,-3.997
Guinea-Bissau,GNB,Sub-Saharan Africa,Africa,low,less-least,2153.339,64.679,3.836,104.1,15.181,64.085,48.93,-1.4
Liberia,LBR,Sub-Saharan Africa,Africa,low,less-least,5493.031,170.065,3.95,103.9,44.333,62.163,55.929,-5.002
Mali,MLI,Sub-Saharan Africa,Africa,low,less-least,23769.127,951.445,5.614,103.3,205.047,60.439,60.771,-39.953
Mauritania,MRT,Sub-Saharan Africa,Africa,lower-middle,less-least,5022.441,172.885,4.697,103.3,27.725,68.484,30.781,2.999
Niger,NER,Sub-Saharan Africa,Africa,low,less-least,26159.867,1095.892,6.061,104,231.746,61.183,64.56,0.995
Nigeria,NGA,Sub-Saharan Africa,Africa,lower-middle,less,227882.945,7509.758,4.482,103.8,2675.442,54.462,69.469,-57.936
Saint Helena,SHN,Sub-Saharan Africa,Africa,upper-middle,less,5.289,0.039,1.636,105.4,0.089,76.787,12.142,0
Senegal,SEN,Sub-Saharan Africa,Africa,lower-middle,less-least,18077.573,531.89,3.818,103.1,100.882,68.683,24.144,-9.999
Sierra Leone,SLE,Sub-Saharan Africa,Africa,low,less-least,8460.512,258.903,3.791,103.4,70.116,61.786,71.619,-4
Togo,TGO,Sub-Saharan Africa,Africa,low,less-least,9304.337,289.759,4.192,102.8,71.661,62.739,41.356,-1.997
Kazakhstan,KAZ,Central and Southern Asia,Asia,upper-middle,less,20330.104,409.417,3.012,106.4,136.388,74.402,8.12,-4.822
Kyrgyzstan,KGZ,Central and Southern Asia,Asia,lower-middle,less,7073.516,150.759,2.8,105.6,42.2,71.677,14.264,5.601
Tajikistan,TJK,Central and Southern Asia,Asia,lower-middle,less,10389.799,271.42,3.072,106.3,47.595,71.79,24.502,-19.999
Turkmenistan,TKM,Central and Southern Asia,Asia,upper-middle,less,7364.438,160.1,2.69,106.7,42.575,70.073,31.771,15.005
Uzbekistan,UZB,Central and Southern Asia,Asia,lower-middle,less,35652.307,943.547,3.5,107.9,221.249,72.388,11.137,-6.004
China,CHN,Eastern and South-Eastern Asia,Asia,upper-middle,less,1422584.933,8899.881,0.999,110.8,11684.177,77.953,5.102,-567.724
"China, Hong Kong SAR",HKG,Eastern and South-Eastern Asia,Asia,upper,less,7442.734,41.294,0.717,107.7,57.19,85.511,1.347,-3.427
"China, Macao SAR",MAC,Eastern and South-Eastern Asia,Asia,upper,less,713.912,4.515,0.662,108,3.423,83.075,2.284,8.807
"China, Taiwan Province of China",TWN,Eastern and South-Eastern Asia,Asia,upper,less,23317.145,132.404,0.87,106.8,205.339,80.559,2.979,-32.777
Dem. People's Republic of Korea,PRK,Eastern and South-Eastern Asia,Asia,low,less,26418.204,342.038,1.78,106,255.826,73.642,14.535,-1.997
Japan,JPN,Eastern and South-Eastern Asia,Asia,upper,more,124370.947,749.884,1.208,105.1,1524.43,84.712,1.649,175.003
Mongolia,MNG,Eastern and South-Eastern Asia,Asia,lower-middle,less,3431.932,65.019,2.685,104.4,20.34,71.734,10.551,0
Republic of Korea,KOR,Eastern and South-Eastern Asia,Asia,upper,less,51748.739,236.394,0.72,105.8,345.502,84.329,2.074,87.8
Afghanistan,AFG,Central and Southern Asia,Asia,low,less-least,41454.761,1469.029,4.84,105.1,240.296,66.035,43.951,-48.958
Bangladesh,BGD,Central and Southern Asia,Asia,lower-middle,less-least,171466.99,3489.953,2.163,104.9,859.075,74.672,22.8,-549.918
Bhutan,BTN,Central and Southern Asia,Asia,lower-middle,less,786.385,9.958,1.462,104.8,4.805,72.975,19.34,0.291
India,IND,Central and Southern Asia,Asia,lower-middle,less,1438069.596,23219.489,1.975,107.3,9507.008,72.003,22.619,-979.179
Iran (Islamic Republic of),IRN,Central and Southern Asia,Asia,lower-middle,less,90608.707,1173.463,1.695,105.2,423.367,77.654,9.868,262.044
Maldives,MDV,Central and Southern Asia,Asia,upper-middle,less,525.994,5.795,1.575,105.1,1.23,81.041,4.312,-2.877
Nepal,NPL,Central and Southern Asia,Asia,lower-middle,less-least,29694.614,574.297,1.984,104.9,205.841,70.354,21.905,-409.782
Pakistan,PAK,Central and Southern Asia,Asia,lower-middle,less,247504.495,6882.058,3.605,105.5,1600.313,67.649,49.363,-1619.557
Sri Lanka,LKA,Central and Southern Asia,Asia,lower-middle,less,22971.617,324.102,1.974,104.4,162.453,77.483,5.098,-28.011
Brunei Darussalam,BRN,Eastern and South-Eastern Asia,Asia,upper,less,458.949,6.237,1.747,107.6,2.4,75.327,8.101,0
Cambodia,KHM,Eastern and South-Eastern Asia,Asia,lower-middle,less-least,17423.88,361.586,2.579,105.2,111.34,70.668,19.187,-31.837
Indonesia,IDN,Eastern and South-Eastern Asia,Asia,upper-middle,less,281190.067,4482.359,2.127,106.1,2117.706,71.146,17.117,-37.501
Lao People's Democratic Republic,LAO,Eastern and South-Eastern Asia,Asia,lower-middle,less-least,7664.993,163.043,2.421,105.3,47.682,68.964,31.716,-10.003
Malaysia,MYS,Eastern and South-Eastern Asia,Asia,upper-middle,less,35126.298,435.989,1.55,106.5,181.166,76.657,6.39,181.071
